c_abrv,v23,v25,v26,v49,v72,v74,v75,v76,v77,v78,v83,v84,v95,v98,v106,v107,v114,v120,v134,v140,v145,v147,v149,v150,v194,v197,v223
FR,1,1,2,2,4,2,4,2,NA,3,5,2,2,1,1,6,1,2,1,6,NA,3,9,2,4,4,3
FR,2,2,2,2,2,3,4,4,4,4,5,1,1,2,5,5,1,2,9,8,4,3,1,1,3,2,1
FR,1,2,2,2,2,3,2,4,4,4,2,2,1,1,8,5,1,2,5,2,1,3,2,2,1,1,1
FR,1,1,2,2,3,3,4,3,4,4,3,2,2,1,8,8,1,2,1,9,3,4,9,5,3,2,1
FR,1,1,2,2,2,1,3,3,4,4,3,2,2,1,2,5,1,1,1,8,2,2,1,1,3,2,2
FR,2,2,2,1,3,4,3,4,4,4,4,1,2,2,1,1,2,1,2,10,2,3,1,1,1,2,2
FR,2,2,2,2,4,2,4,NA,4,4,5,2,1,2,5,1,1,1,1,5,3,2,7,1,2,1,2
FR,2,1,2,2,4,4,4,3,3,3,4,2,2,2,5,8,1,2,2,3,3,2,3,3,2,2,2
FR,1,1,2,1,3,3,3,3,3,4,3,1,2,1,5,5,1,2,3,7,3,4,1,1,3,1,2
FR,2,1,2,2,4,3,4,4,4,4,3,3,2,1,5,3,3,2,1,5,4,3,6,1,3,2,2
FR,2,1,2,2,3,3,3,3,4,4,3,2,NA,1,4,4,1,2,NA,NA,NA,4,1,1,2,2,2
FR,2,1,2,4,4,4,4,4,4,3,5,2,2,1,3,8,3,3,1,6,4,4,3,2,1,2,3
FR,2,2,2,4,4,3,4,4,4,4,3,2,2,1,4,10,3,3,1,8,4,4,5,2,3,1,1
FR,1,1,2,1,2,3,3,3,4,4,5,2,2,3,1,1,1,2,1,8,4,4,1,1,4,2,3
FR,2,2,2,2,3,3,3,4,2,3,4,2,2,1,8,3,1,2,10,7,4,3,2,2,3,2,1
FR,2,2,2,2,3,3,3,4,3,3,5,1,2,1,5,5,1,1,2,6,3,3,5,5,1,1,2
FR,2,1,2,2,4,4,4,4,4,4,5,2,2,1,10,5,1,1,2,1,4,2,1,1,3,3,2
FR,2,2,2,3,3,3,4,3,4,3,4,2,1,1,3,6,1,1,1,6,3,4,6,2,4,2,2
FR,2,1,2,2,3,3,4,4,4,4,4,2,2,2,8,3,1,2,1,6,4,3,3,2,3,3,1
FR,1,1,2,2,2,2,4,4,4,4,5,3,2,1,4,8,3,2,1,6,3,4,6,1,2,1,1
FR,1,2,2,2,1,4,4,4,4,4,5,1,1,1,5,1,2,2,1,1,3,4,1,3,3,2,3
FR,2,1,2,2,4,4,4,4,4,4,2,2,1,2,7,4,1,2,1,3,3,2,8,4,3,3,2
FR,2,1,2,2,2,2,2,2,3,3,3,2,1,2,5,NA,1,2,6,7,4,4,6,5,3,2,1
FR,2,1,2,1,3,2,3,3,4,4,3,1,2,3,9,3,1,2,1,8,2,2,2,2,3,1,1
FR,2,2,2,3,2,2,3,4,4,3,4,2,2,2,2,5,3,2,1,7,4,4,5,1,3,2,2
FR,2,1,1,2,4,3,3,NA,3,3,2,1,1,3,4,7,1,2,1,8,NA,4,1,1,2,2,1
FR,1,1,2,2,1,3,3,2,3,3,4,3,2,1,10,10,1,2,5,NA,1,NA,NA,NA,NA,2,2
FR,2,2,2,2,1,1,NA,3,3,NA,2,2,1,1,9,NA,1,2,NA,9,NA,NA,8,1,2,2,1
FR,2,2,2,5,4,4,4,2,4,4,5,4,1,1,2,10,1,3,1,1,3,3,6,2,4,3,3
FR,2,2,2,2,2,2,2,2,3,3,2,2,1,3,2,1,1,2,1,5,2,2,5,5,2,2,2
FR,1,1,1,1,2,2,3,4,3,3,3,2,1,3,NA,5,3,NA,NA,10,3,4,1,1,1,NA,2
FR,2,1,2,2,3,3,4,4,4,4,3,2,2,1,3,4,1,2,4,7,3,3,3,6,2,1,2
FR,1,1,2,4,3,4,4,2,4,4,5,2,2,1,7,8,1,2,1,7,3,4,8,1,3,2,2
FR,2,1,2,2,4,4,4,3,4,4,3,2,2,1,4,5,1,2,1,9,4,4,1,1,4,2,2
FR,2,1,1,2,2,3,3,2,3,3,4,2,2,1,4,8,1,2,1,NA,4,4,1,1,3,3,1
FR,1,1,2,1,3,4,4,4,4,4,2,3,2,1,8,8,1,2,3,5,3,3,4,3,2,2,2
FR,1,1,2,2,2,2,3,4,4,4,2,2,2,1,6,3,1,2,4,8,3,3,5,3,1,2,2
FR,1,1,2,2,4,3,4,2,4,4,5,2,2,1,3,5,2,2,1,6,4,4,2,2,3,2,2
FR,2,2,2,3,2,1,3,3,3,3,3,1,2,1,8,5,1,2,5,6,4,3,3,1,3,1,1
FR,2,2,2,1,2,2,3,3,3,3,2,2,1,1,9,6,1,2,6,9,3,3,6,1,2,3,2
FR,2,1,2,1,3,2,2,4,3,3,4,2,2,1,10,5,1,2,1,5,2,3,1,1,1,3,1
FR,2,2,2,2,3,3,4,NA,3,3,3,2,1,3,1,3,1,2,1,7,3,2,7,2,2,2,2
FR,2,2,2,1,4,NA,4,2,4,4,2,2,2,1,2,2,3,2,10,NA,2,4,8,2,NA,2,4
FR,1,1,1,2,3,3,3,3,2,3,4,2,2,2,10,3,3,1,9,8,2,3,3,2,1,3,3
FR,2,2,2,1,4,2,NA,3,3,3,5,2,2,1,3,NA,1,2,10,3,3,4,1,1,2,2,2
FR,1,1,2,1,2,1,3,4,4,3,3,2,2,1,5,3,1,2,1,6,4,4,2,2,3,2,NA
FR,2,1,2,1,2,2,3,4,3,3,4,1,2,1,3,7,1,2,1,6,4,4,1,1,3,2,1
FR,2,2,2,2,3,3,4,2,3,3,2,1,2,1,2,5,1,2,3,5,4,4,7,3,3,3,3
FR,2,1,2,1,4,4,3,4,4,3,5,1,2,1,7,6,1,4,2,5,4,4,2,4,3,1,2
FR,1,1,2,1,3,3,4,3,4,4,3,2,1,1,5,5,1,1,1,7,2,3,4,1,1,1,2
FR,1,1,2,2,2,1,3,3,3,3,2,2,1,2,3,5,1,2,8,5,2,NA,5,1,1,2,1
FR,2,2,2,1,4,4,4,4,4,4,4,1,1,2,7,6,1,2,4,6,3,4,5,1,2,2,1
FR,1,2,1,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,2,10,3,2,10,1,1,1,1
FR,1,1,2,2,3,2,3,3,2,2,1,1,1,3,8,4,1,1,6,4,2,1,1,1,1,1,1
FR,1,2,2,3,4,4,4,3,4,2,2,5,2,1,1,1,1,1,0,1,4,4,1,1,3,3,2
FR,1,1,2,2,2,2,3,2,3,4,2,4,2,1,6,2,1,2,2,2,2,4,1,4,3,2,1
FR,1,1,2,3,1,1,3,4,4,4,3,1,1,1,1,1,1,1,5,8,3,4,9,1,1,2,2
FR,2,1,2,5,1,1,1,3,4,2,1,1,1,2,5,4,1,1,7,8,2,2,4,5,3,3,1
FR,1,1,2,1,2,2,4,2,4,4,5,1,1,1,7,NA,1,2,1,2,2,3,5,1,2,2,2
FR,2,1,2,4,2,3,3,1,3,3,2,1,1,2,5,8,1,2,2,8,2,2,3,3,2,1,2
FR,2,1,2,3,3,3,3,4,4,4,4,1,2,2,2,4,1,2,6,1,3,4,5,3,3,2,1
FR,1,1,2,3,3,2,4,3,3,3,5,2,2,1,7,3,1,2,1,6,3,4,5,1,1,2,2
FR,1,1,2,1,4,4,4,3,4,4,5,2,2,3,1,2,2,3,3,3,3,4,7,1,1,1,1
FR,1,2,1,5,2,2,3,4,4,4,5,1,2,1,1,NA,1,3,1,5,NA,NA,1,1,4,NA,2
FR,1,1,2,4,4,4,4,4,4,4,5,2,2,1,4,4,1,2,2,7,4,4,8,2,3,2,3
FR,1,2,2,4,4,3,4,1,4,4,3,1,1,1,8,5,1,2,1,4,3,4,2,1,2,2,2
FR,1,1,2,2,4,4,4,3,3,3,4,4,2,1,2,3,1,2,1,2,3,4,1,1,2,3,2
FR,2,2,2,1,4,4,4,4,4,3,3,2,2,1,8,4,3,2,2,8,3,4,2,2,2,2,2
FR,1,1,2,5,1,1,4,3,4,4,5,1,1,1,5,5,1,3,4,5,2,2,5,3,1,1,1
FR,1,2,2,3,4,4,4,3,4,4,3,4,2,1,5,2,1,2,3,8,4,4,8,2,3,2,2
FR,2,1,2,3,4,2,4,3,4,4,4,2,2,1,4,6,1,2,1,5,2,2,6,1,3,2,2
FR,1,2,2,2,2,1,1,2,2,4,2,1,2,1,10,2,1,1,4,7,3,3,3,3,2,2,2
FR,1,1,2,2,3,3,3,3,3,3,3,4,2,1,8,5,1,2,4,7,3,4,2,1,1,1,1
FR,2,2,2,2,4,4,4,2,2,4,5,2,1,1,8,6,1,4,5,2,2,3,8,1,2,1,1
FR,2,1,2,2,3,3,4,4,4,4,3,3,1,1,6,2,1,1,1,8,2,3,5,1,2,2,2
FR,2,2,2,3,4,4,2,3,3,NA,3,2,1,3,1,1,1,4,1,1,3,4,1,1,NA,NA,4
FR,1,1,2,3,3,1,3,4,3,2,2,1,1,2,10,10,1,2,5,6,2,2,5,2,1,1,1
FR,2,2,2,1,2,3,3,4,3,3,3,2,2,1,4,4,1,2,5,5,2,3,4,4,2,2,2
FR,1,2,2,2,2,2,3,3,4,2,5,2,1,1,6,5,1,2,5,5,2,4,5,5,1,1,2
FR,2,1,2,2,3,2,3,NA,4,3,2,1,2,1,9,1,1,1,1,3,3,4,6,1,1,2,1
FR,1,1,2,1,2,2,4,3,4,4,2,2,2,1,9,3,1,2,1,5,4,4,1,1,1,1,1
FR,1,1,2,2,3,3,3,3,1,3,4,2,2,3,4,NA,1,1,NA,NA,4,3,1,1,4,NA,1
FR,2,2,2,3,4,4,4,2,4,4,5,4,2,1,10,5,1,2,3,4,3,3,4,6,2,2,1
FR,1,1,2,2,2,3,4,3,4,3,1,1,2,1,1,NA,1,1,3,7,2,3,1,1,1,2,1
FR,2,2,1,1,2,2,1,3,4,2,4,1,2,2,10,1,1,2,4,8,2,2,7,7,1,2,1
FR,1,1,2,1,3,4,4,4,4,4,5,5,2,2,8,6,1,2,3,8,2,4,7,1,2,1,3
FR,2,2,2,1,4,4,4,4,4,4,5,2,2,1,3,9,1,1,1,1,4,4,1,1,NA,NA,4
FR,1,1,2,2,2,2,NA,4,NA,NA,4,1,2,2,7,5,1,2,1,2,4,4,2,1,2,1,1
FR,2,2,2,1,3,3,2,2,4,3,4,2,2,3,9,3,1,2,3,4,2,3,3,3,2,2,1
FR,2,2,2,2,3,3,4,4,4,4,4,2,2,1,1,6,1,2,2,6,2,3,4,2,3,1,2
FR,2,1,2,2,3,2,3,4,3,3,4,2,2,2,4,5,1,2,1,2,4,3,2,2,2,2,1
FR,2,2,2,3,3,3,3,4,3,3,5,5,2,1,3,3,NA,2,4,6,4,4,1,1,3,2,1
FR,2,2,2,3,4,4,4,2,4,4,5,5,2,1,7,2,3,2,3,5,2,4,5,2,4,1,2
FR,1,1,2,2,2,3,2,2,3,NA,2,2,2,NA,8,8,1,2,4,5,1,NA,5,5,2,2,2
FR,2,2,2,3,4,4,4,3,4,4,5,3,1,2,5,5,1,1,1,5,2,4,2,2,3,3,2
FR,2,1,2,2,2,2,1,2,4,NA,NA,1,2,2,10,1,1,1,1,8,2,NA,1,1,1,NA,1
FR,2,2,2,2,4,3,4,3,3,4,4,2,1,1,8,4,3,3,2,9,4,3,3,2,NA,3,2
FR,2,1,1,1,NA,NA,1,4,NA,3,1,1,1,1,5,4,1,3,1,10,2,3,1,1,NA,NA,2
FR,2,2,2,5,4,3,3,4,4,4,5,2,1,1,9,5,1,2,7,8,2,3,1,1,2,2,2
FR,2,2,2,2,3,2,4,3,4,4,3,3,2,1,7,8,3,2,1,4,NA,4,3,1,4,2,3
FR,2,2,2,4,2,4,4,2,4,4,1,2,1,3,1,6,1,2,1,6,4,4,2,1,3,2,1
FR,1,1,2,2,4,4,4,4,4,4,5,2,2,1,7,5,1,3,1,8,3,4,1,1,4,1,1
FR,1,1,2,1,3,3,3,4,3,4,3,2,1,1,8,8,1,2,3,3,3,3,4,3,2,2,2
FR,2,2,2,1,2,2,4,4,3,3,4,3,2,1,4,2,3,4,3,5,2,4,9,3,1,4,1
FR,1,2,2,2,4,2,4,4,4,4,5,1,1,1,8,8,1,4,1,7,4,4,6,4,2,3,1
FR,2,1,2,1,2,3,4,3,4,3,4,NA,2,1,2,NA,1,2,1,3,4,4,2,1,4,2,1
FR,1,1,1,1,4,2,1,4,4,4,1,1,1,2,10,10,1,1,5,NA,3,4,3,1,3,2,2
FR,1,2,2,4,3,4,4,NA,4,4,3,4,2,1,5,3,3,3,1,9,4,4,2,1,3,2,4
FR,1,1,2,1,2,2,3,3,4,NA,2,2,1,2,6,3,1,1,4,5,3,3,4,2,2,2,1
FR,2,1,2,1,4,3,3,3,4,3,3,2,1,1,6,6,1,2,6,8,1,2,5,5,2,3,2
FR,1,2,2,2,3,3,3,3,4,4,4,2,2,3,1,4,3,2,1,2,4,4,7,5,NA,2,4
FR,2,2,2,2,3,3,3,3,3,3,2,1,2,1,6,6,3,3,5,4,4,4,4,2,3,3,2
FR,2,2,1,2,2,2,3,4,3,3,4,3,2,2,8,7,1,2,1,5,2,3,7,5,2,3,2
FR,2,1,2,4,4,3,4,4,4,4,5,4,2,1,10,10,1,2,1,7,4,4,2,2,2,2,2
FR,1,2,2,5,4,4,4,NA,4,4,5,3,2,1,3,5,3,2,1,5,4,4,3,1,3,2,2
FR,2,1,2,1,3,3,4,4,4,4,4,1,2,1,NA,1,1,2,10,6,1,3,1,10,3,1,1
FR,2,1,2,1,1,2,2,4,4,2,1,1,2,2,1,2,1,2,4,10,2,1,7,9,1,1,1
FR,2,1,2,2,3,3,3,4,3,3,3,2,2,1,2,6,1,2,4,8,2,3,7,3,3,1,2
FR,2,1,2,1,2,2,4,2,3,2,2,1,2,1,7,8,1,2,3,8,2,3,2,2,1,1,1
FR,2,2,2,2,4,3,3,4,3,3,3,3,1,2,7,6,3,2,3,4,2,2,5,1,2,2,2
FR,1,1,2,1,2,2,1,1,3,4,5,2,2,1,10,4,1,2,3,4,2,3,5,5,1,1,1
FR,1,1,2,2,3,3,3,4,4,4,5,2,2,1,7,4,1,2,1,6,4,2,1,1,1,1,2
FR,1,1,2,2,2,3,1,3,3,3,4,2,1,1,NA,NA,1,2,NA,NA,3,4,1,1,3,2,2
FR,1,1,2,1,2,3,NA,4,NA,NA,3,1,2,2,10,3,3,2,1,1,1,4,1,1,3,1,1
FR,2,2,2,5,3,3,4,3,4,4,5,3,2,1,3,7,3,2,2,7,4,4,2,1,3,2,2
FR,2,2,2,1,2,3,4,3,4,4,1,1,2,1,1,1,1,2,1,1,3,4,1,1,1,1,1
FR,2,2,2,1,3,4,4,3,4,4,5,5,1,1,2,4,1,1,10,2,4,4,1,1,3,2,2
FR,2,2,2,2,4,4,4,4,4,4,3,4,2,1,4,7,3,2,3,8,4,3,1,1,2,3,3
FR,2,2,2,1,2,2,3,4,4,4,4,1,1,3,8,8,1,2,1,2,2,4,3,2,3,2,2
FR,1,1,2,3,2,2,3,1,3,4,5,5,2,1,4,6,1,3,2,7,3,3,2,1,3,3,2
FR,2,2,2,1,2,3,4,3,4,3,5,3,1,1,6,NA,1,2,1,5,1,3,8,6,1,3,2
FR,2,2,2,NA,4,3,3,4,3,NA,3,2,2,1,3,5,3,2,8,8,3,3,1,1,2,4,2
FR,2,2,2,2,4,4,NA,4,3,3,5,NA,2,1,6,10,1,2,5,9,2,1,2,1,2,4,2
FR,2,2,2,2,4,3,3,4,3,3,5,2,2,1,7,4,1,2,5,5,2,2,5,8,2,2,2
FR,2,1,2,1,3,2,3,3,4,3,4,2,2,3,3,3,1,1,8,1,NA,4,1,1,2,2,2
FR,1,1,2,1,2,1,3,2,4,4,2,2,1,1,8,3,1,1,2,9,3,2,1,1,2,2,2
FR,2,2,2,4,4,4,4,4,4,4,5,3,2,2,1,5,3,2,1,8,4,4,1,3,2,2,2
FR,2,1,2,1,4,3,3,4,4,3,5,1,2,1,4,7,3,1,1,2,4,4,4,2,NA,2,2
FR,2,2,2,2,2,3,NA,3,3,2,3,3,2,3,9,8,1,2,5,8,1,2,1,1,3,2,2
FR,1,1,2,1,2,2,3,2,3,2,3,1,2,1,5,1,1,2,1,7,4,4,3,1,1,1,2
FR,1,1,2,2,1,1,2,2,NA,2,3,2,1,1,1,1,1,1,1,1,3,3,5,5,1,1,2
FR,2,2,2,5,3,3,3,4,3,3,4,2,2,1,6,7,3,2,4,5,3,3,7,3,2,2,2
FR,2,1,2,2,2,2,4,3,4,2,4,2,1,1,5,4,1,1,5,6,2,4,8,5,3,2,1
FR,2,2,2,2,3,2,4,3,4,4,5,1,2,1,10,10,3,2,8,6,2,4,8,1,2,4,1
FR,1,1,2,2,2,2,2,3,4,4,3,2,2,3,5,3,1,2,2,8,1,4,3,2,2,2,2
FR,2,2,2,5,4,4,4,1,4,4,5,3,2,1,3,7,2,2,1,10,4,4,10,1,4,1,3
FR,1,1,2,1,3,4,4,3,3,3,2,3,1,2,2,2,1,2,1,1,4,4,1,1,1,1,2
FR,1,1,2,1,4,4,4,4,4,4,2,1,1,2,4,5,1,1,1,1,2,4,1,1,1,1,1
FR,1,1,1,1,2,1,1,1,3,1,1,1,2,3,10,1,1,2,5,5,2,2,1,1,1,1,1
FR,2,2,2,3,4,4,4,NA,4,4,5,1,2,1,3,7,2,NA,1,10,4,4,1,1,4,3,4
FR,2,1,2,3,4,4,3,3,3,3,4,3,2,2,5,5,3,2,2,2,4,3,4,2,2,2,2
FR,2,2,2,2,2,2,2,2,2,2,3,3,2,2,7,7,NA,2,6,6,3,3,8,7,4,1,2
FR,2,2,2,2,4,4,4,4,4,4,5,1,2,1,1,8,2,3,1,3,4,4,6,1,4,3,3
FR,1,1,2,2,4,4,4,2,4,4,5,2,2,1,7,5,3,3,1,6,4,4,8,1,2,3,2
FR,2,2,2,5,NA,4,4,3,4,4,5,1,2,1,1,8,2,2,1,2,4,4,1,1,4,4,4
FR,2,2,2,1,4,3,1,4,4,4,1,1,2,2,2,9,1,1,8,9,4,2,3,1,3,2,1
FR,1,1,2,1,4,4,4,4,4,4,5,3,2,1,6,4,1,2,2,8,3,4,3,1,4,2,2
FR,1,1,2,2,2,2,2,3,4,4,1,1,2,1,6,5,1,2,5,5,2,NA,4,3,2,NA,1
FR,2,1,2,4,2,3,4,4,4,4,4,1,2,1,NA,1,3,2,2,2,4,4,7,1,3,1,1
FR,2,1,2,2,4,4,4,4,4,4,5,3,2,1,1,5,3,3,1,6,3,4,1,1,4,1,3
FR,1,1,2,2,4,4,4,3,4,4,3,3,2,1,10,1,3,2,1,10,4,4,1,1,3,1,2
FR,2,2,2,1,2,3,3,2,3,3,5,2,2,1,6,6,1,3,5,5,4,4,1,1,4,1,1
FR,2,1,2,3,3,2,1,3,3,3,2,1,2,1,10,NA,1,1,6,5,3,3,9,6,4,2,1
FR,2,1,2,3,3,3,4,3,4,4,5,2,2,3,1,5,1,3,2,8,4,4,1,1,4,1,1
FR,2,2,2,3,4,4,4,3,4,4,5,3,2,1,8,4,1,2,3,8,3,4,8,3,3,2,1
FR,1,1,2,3,4,4,4,2,4,4,5,2,2,1,8,4,1,2,2,5,3,4,7,2,2,3,2
FR,2,2,2,4,4,1,3,2,4,3,5,1,2,1,5,2,NA,2,4,9,3,3,4,4,3,2,2
FR,2,2,2,2,4,4,4,2,4,4,4,3,2,1,10,10,3,NA,2,2,4,4,NA,1,3,2,NA
FR,1,1,2,4,4,4,4,4,4,4,4,2,2,1,5,6,NA,3,1,4,4,4,5,3,NA,NA,1
FR,NA,NA,NA,3,4,4,4,4,4,4,4,2,2,1,2,NA,NA,NA,0,5,4,4,7,NA,3,2,2
FR,1,1,2,1,1,1,2,4,4,4,4,1,2,1,1,10,1,2,1,8,4,4,1,1,1,1,1
FR,1,1,2,3,4,3,3,3,4,3,4,2,2,2,9,6,3,2,3,1,3,3,7,5,2,2,2
FR,2,2,2,3,3,3,4,3,3,3,5,4,2,1,7,6,1,2,2,4,4,3,5,7,1,2,2
FR,2,2,2,4,2,2,2,2,3,3,2,3,1,1,1,5,3,2,6,8,4,4,10,3,3,3,2
FR,1,1,2,4,4,4,4,3,4,4,5,5,1,1,7,4,1,2,3,7,3,4,2,2,2,2,2
FR,2,1,2,2,2,4,3,4,3,3,4,2,2,2,7,6,1,2,2,9,3,2,5,1,2,2,2
FR,1,2,2,5,2,2,4,3,4,4,5,5,2,1,1,5,3,2,1,5,4,4,5,1,3,2,3
FR,2,2,2,3,3,3,4,NA,4,4,5,2,2,1,2,2,1,2,2,6,4,4,3,2,2,2,2
FR,2,2,2,1,1,4,4,4,4,4,1,1,1,1,1,2,1,2,1,1,2,1,7,1,2,2,3
FR,2,2,2,5,4,4,4,2,4,4,5,5,2,1,5,NA,NA,3,1,9,4,4,1,1,NA,3,2
FR,1,1,1,1,2,3,3,2,4,4,4,1,2,3,9,5,1,3,0,4,3,3,1,1,3,1,2
FR,2,1,2,1,3,3,4,2,4,4,4,2,2,1,6,10,3,2,1,10,4,4,2,1,3,2,2
FR,2,1,2,1,4,2,4,4,4,4,3,3,1,1,10,9,2,1,6,2,2,4,1,1,2,3,2
FR,1,1,2,1,3,2,4,3,4,3,3,1,2,2,6,7,3,4,4,2,2,3,5,1,3,3,1
FR,1,1,2,2,4,4,4,2,4,1,5,1,2,1,7,1,2,3,1,3,4,4,10,1,4,2,2
FR,1,1,2,2,4,3,4,NA,4,4,4,1,2,1,7,5,1,1,1,8,4,4,1,1,1,1,1
FR,1,2,2,1,3,3,2,1,4,NA,2,2,1,2,8,5,1,2,6,3,2,2,4,1,1,1,2
FR,2,2,2,1,2,2,2,4,3,2,3,2,2,2,8,4,1,2,5,7,3,NA,3,1,NA,2,2
FR,2,2,2,1,2,NA,2,3,4,4,1,3,NA,3,9,NA,1,2,NA,NA,1,4,7,5,1,1,1
FR,2,1,2,1,2,1,1,4,4,2,1,1,1,3,10,1,1,2,10,5,1,3,5,1,2,3,1
FR,1,2,2,1,4,4,4,3,4,4,3,2,2,1,3,8,NA,NA,1,1,4,4,1,1,4,3,1
FR,1,2,2,1,4,3,4,2,4,4,5,1,2,1,9,10,1,4,6,NA,4,NA,1,1,1,1,1
FR,1,1,1,2,3,2,1,3,1,NA,2,1,1,3,8,NA,1,1,NA,NA,NA,1,NA,1,1,1,1
FR,1,2,2,3,3,2,3,2,4,3,3,4,2,1,5,5,1,1,2,3,3,3,3,1,3,2,2
FR,1,1,2,1,4,4,4,3,4,4,3,2,2,1,1,8,1,1,1,8,4,4,4,1,2,2,1
FR,1,2,2,3,3,3,3,4,3,3,3,2,2,1,8,5,1,2,1,5,3,3,5,2,3,2,2
FR,1,1,2,3,3,3,4,4,4,4,4,3,2,1,8,6,3,3,1,8,NA,NA,2,2,2,2,2
FR,1,1,2,2,2,2,2,2,2,2,3,3,1,3,4,7,1,2,3,4,3,3,1,1,2,2,2
FR,1,1,2,2,4,3,4,2,4,4,4,1,2,2,7,4,1,2,1,7,4,4,3,1,4,1,1
FR,2,1,2,4,4,3,3,2,4,4,5,3,1,1,4,5,1,2,2,8,4,4,4,1,3,1,2
FR,2,1,2,2,4,2,4,4,4,4,4,1,2,2,6,6,1,4,4,8,4,4,5,4,1,1,4
FR,2,1,2,5,3,3,3,3,4,4,5,2,2,1,5,5,3,2,10,8,3,3,10,5,3,2,1
FR,2,2,1,1,3,3,3,4,3,3,5,2,2,1,1,5,1,3,1,5,4,3,1,1,1,1,4
FR,1,1,2,2,2,2,4,4,4,2,5,2,2,1,7,7,NA,2,3,3,4,3,1,1,1,1,1
FR,1,1,1,1,4,2,3,2,4,4,4,2,2,2,10,5,1,2,3,5,4,4,5,1,3,2,1
FR,1,1,2,5,2,1,4,4,4,4,5,1,2,1,1,1,1,4,1,1,4,4,8,8,3,2,2
FR,1,1,2,1,4,4,4,3,4,4,3,4,1,3,9,6,1,1,1,8,3,4,1,1,2,2,1
FR,1,1,1,1,2,2,2,3,4,3,2,2,1,2,6,8,3,2,1,1,3,4,1,1,2,2,2
FR,1,1,2,2,4,2,3,2,4,4,5,3,2,3,10,1,1,2,1,1,4,4,1,1,2,2,1
FR,2,2,2,2,2,2,2,4,2,2,3,2,1,3,7,7,1,2,8,4,3,4,1,1,2,3,2
FR,2,1,2,2,3,3,4,3,4,4,3,2,2,3,5,6,2,2,8,3,3,4,2,1,2,2,2
FR,2,2,2,5,4,4,4,3,4,4,5,5,2,1,2,8,2,2,2,5,4,3,8,1,4,4,2
FR,2,2,2,1,2,2,3,4,3,3,4,2,2,1,NA,2,1,3,1,6,4,3,6,2,3,2,1
FR,2,1,2,2,3,1,3,3,3,3,2,1,2,1,3,10,1,2,3,9,2,4,9,1,2,2,2
FR,2,2,2,4,3,3,3,3,3,3,4,NA,2,1,3,10,NA,3,5,4,4,4,9,1,3,3,3
FR,2,1,1,4,4,3,2,3,NA,2,1,2,2,2,5,NA,1,1,1,NA,NA,2,5,1,2,2,1
FR,2,2,2,2,3,4,4,3,4,4,4,2,2,1,3,4,1,3,1,7,4,4,5,1,1,2,2
FR,2,2,2,1,2,1,4,3,4,4,5,2,2,3,9,8,1,2,4,7,3,4,4,1,3,1,2
FR,2,1,2,4,3,3,3,4,3,3,4,3,2,1,6,2,1,1,2,8,3,4,3,2,2,2,2
FR,2,2,2,5,3,4,4,3,4,4,5,5,2,1,5,5,2,2,1,2,4,4,8,5,4,4,2
FR,2,1,2,1,2,1,1,2,1,2,1,1,1,1,8,10,1,1,7,5,1,1,10,2,1,1,1
FR,NA,NA,2,1,2,4,4,3,4,4,5,1,2,1,3,3,1,1,10,1,4,4,1,1,3,1,3
FR,1,1,2,2,4,4,4,4,4,4,5,4,2,1,9,NA,1,2,1,5,4,3,2,2,4,2,1
FR,1,2,2,2,4,3,4,NA,4,4,3,4,2,2,9,6,1,2,3,7,3,3,5,1,3,1,2
FR,1,1,2,1,4,4,4,3,4,4,5,2,2,1,5,5,1,2,2,7,4,4,1,1,4,1,1
FR,1,1,2,2,2,3,3,4,4,4,2,2,2,3,4,5,1,2,5,6,2,2,6,1,2,2,3
FR,2,2,2,2,2,4,3,2,4,4,4,1,2,1,7,8,2,2,2,6,4,4,3,2,4,1,2
FR,2,2,2,1,1,2,4,2,4,2,2,3,1,2,1,1,1,1,1,9,2,2,1,1,1,1,1
FR,1,2,2,1,3,4,4,1,4,4,3,1,2,1,3,3,1,2,1,5,4,4,3,3,4,1,1
FR,2,2,2,1,1,1,2,2,2,3,2,4,2,3,6,6,1,2,5,8,NA,NA,10,1,1,1,1
FR,2,2,2,1,4,4,4,2,4,4,5,3,2,1,10,1,1,1,5,5,3,3,1,1,3,3,1
FR,2,2,2,4,2,3,4,2,NA,4,2,5,2,1,5,7,3,2,NA,5,2,4,1,1,2,2,3
FR,2,2,2,1,4,3,4,4,3,3,2,2,2,2,6,4,2,2,2,7,2,2,1,1,2,2,1
FR,1,1,1,5,1,1,2,4,4,2,1,1,1,1,3,2,1,1,NA,NA,4,1,6,1,2,2,2
FR,2,1,2,2,2,2,2,4,4,4,3,3,1,1,6,5,1,1,1,3,2,3,6,1,4,2,2
FR,2,2,2,2,2,2,3,2,3,3,4,2,1,1,2,1,1,2,5,4,4,3,8,1,2,2,2
FR,2,2,2,2,3,4,4,3,4,4,5,1,2,1,7,4,1,2,1,8,4,4,5,1,2,2,2
FR,2,1,2,5,3,4,4,3,4,4,5,3,2,1,1,1,3,1,1,5,4,4,10,1,1,1,2
FR,2,1,2,1,4,3,4,4,3,3,1,1,2,3,9,4,3,2,4,4,3,2,4,5,2,2,1
FR,2,2,2,1,2,1,4,4,4,4,2,2,2,1,6,6,1,2,5,5,2,1,3,1,2,2,1
FR,2,1,2,1,3,2,3,4,4,4,4,1,2,1,8,8,1,1,9,9,3,2,1,1,3,2,2
